语法,说明,注
and,用来连接查询语法和,services.port:8880andservices.service_name:HTTP
or,用来连接查询语法或者,services.port:21orservices.service_name:FTP
not,用来连接查询语法非,notsame_service(service_name:HTTPandport:443)
[]{},使用[]搜索数字范围，[]表示包含范围，{}表示不包含范围,services.http.response.status_code:[500 to 503]
？*,通配符，？表示单个，*表示零个或多个,-
ip:23.20.0.0/14,使用CIDR表示法搜索IP地址块或通过提供一个范围,ip:23.20.0.0/14ip:[23.20.0.0to23.20.5.34]
services.service_name:S7,通过搜索服务名字段来搜索运行特定协议的主机,
services.port:3389,通过搜索端口字段搜索具有特定端口的主机,
全文搜索,通过全文搜索来查找数据,例如：DELL查找DELL设备
services.http.response.headers,值是文本，模糊匹配;值是关键字，精确匹配。,services.http.response.status_code:500.
"location.country_code:DEandservices.service_name:{""FTP"",""Telnet""}",在德国运行FTP或Telnet的主机,-
services.http.response.body:powershell.exe,HTTP正文中包含powershell.exe的主机,-
"services.snmp.oid_system.location=""SittingontheDockoftheBay""",“SittingontheDockoftheBay”的确切SNMP位置值,-
"(""SchneiderElectric""orDell)andip:23.20.0.0/14",ip范围内带有短语“SchneiderElectric”或Dell的主机,-
"services.port:{22,23,24,25}",打开了以下任一端口的主机：二十二、二十三、二十四、二十五,-
notservices.service_name:HTTP,未运行HTTP服务的主机,-
services.tls.certificates.leaf_fp_sha_256:*,提供任何证书的主机,-
/hello.*/,显示字符串hello的主机后面跟任意值（常规表达式）,-
services.tls.certificates.leaf_data.names=/foo<1-100>.*/,提供名称为foo1、foo2...的证书的主机foo100后接任意值,-
"services.service_name:""SSH""andnotservices.port:{22,2222}",在端口22和2222以外的端口上运行SSH服务的主机,-
"services.service_name:""ELASTICSEARCH""andservices.port:443",在端口443上运行弹性搜索的主机,-
"services.perspective_id:""PERSPECTIVE_NTT""",具有NTTISP内的Censys扫描程序上次扫描的服务的主机,-
services.http.response.html_title:dashboard,HTTP服务上的页面标题包含单词“dashboard”的主机,-
services.http.response.status_code:500,具有HTTP服务的主机响应了服务器错误状态代码,-
"services.tls.version_selected:{TLSv1_0,TLSv1_1}",具有运行不安全TLS版本的任何服务的主机,-
autonomous_system.description:University,AS中包含单词University的主机,-
services.banner,-,-
services.banner_hex,-,-
services.extended_service_name,-,-
services.perspective_id,-,-
services.port,-,-
services.service_name,-,-
services.source_ip,-,-
services.transport_protocol,-,-
services.truncated,-,-
services.name,Aliasforservices.service_name,-
services.banner_grab.banner,Aliasforservices.banner,-
services.banner_grab.transport,-,-
dns.reverse_dns.names,-,-
dns.reverse_dns.resolved_at,-,-
operating_system.other.key,-,-
operating_system.other.value,-,-
operating_system.version,-,-
autonomous_system.organization,-,-
services.http.request.body,-,-
services.http.request.headers.accept_patch,-,-
services.http.request.headers.accept_ranges,-,-
services.http.request.headers.access_control_allow_origin,-,-
services.http.request.headers.age,-,-
services.http.request.headers.allow,-,-
services.http.request.headers.alt_svc,-,-
services.http.request.headers.alternate_protocol,-,-
services.http.request.headers.cache_control,-,-
services.http.request.headers.connection,-,-
services.http.request.headers.content_disposition,-,-
services.http.request.headers.content_encoding,-,-
services.http.request.headers.content_language,-,-
services.http.request.headers.content_length,-,-
services.http.request.headers.content_location,-,-
services.http.request.headers.content_md5,-,-
services.http.request.headers.content_range,-,-
services.http.request.headers.content_security_policy,-,-
services.http.request.headers.content_type,-,-
services.http.request.headers.date,-,-
