语法,说明,实例
city:Beijing,用于寻找位于指定城市的设备,iis city:Beijing
country: China,指定国家搜索,iis country: China
port: 80,指定端口进行搜索,https port: 80
hostname,搜索指定的主机或域名,hostname:”google”
port,搜索指定的端口或服务,port:”21”
country,搜索指定的国家,country:”CN”
city,搜索指定的城市,city:”Hefei”
org,搜索指定的组织或公司,org:”google”
isp,搜索指定的ISP供应商,isp:”China Telecom”
product,搜索指定的操作系统/软件/平台,product:”Apache httpd”
version,搜索指定的软件版本,version:”1.6.2”
geo,搜索指定的地理位置,"geo:”31.8639, 117.2808”"
before/after,搜索指定收录时间前后的数据，格式为dd-mm-yy,before:”11-11-15”
net,搜索指定的IP地址或子网,net:”210.45.240.0/24”
Server: Prismview Player,三星电子广告牌,-
in-tank inventory port:10001,加油站泵控制器,-
P372 ANPR enabled,自动车牌阅读器,-
mikrotik streetlight,交通信号灯控制器/红光摄像机,-
voter system serial country:US,美国的投票机,-
Cisco IOS ADVIPSERVICESK9_LI-M,运营思科合法拦截窃听的电信公司,-
[2J[H Encartele Confidential,监狱专用电话,-
http.title:Tesla PowerPack System http.component:d3 -ga3ca4f2,Tesla PowerPack充电状态,-
Server: gSOAP/2.8 Content-Length: 583,电动汽车充电器,-
title:Slocum Fleet Mission Control,潜艇任务控制仪表板,-
Server: CarelDataServer 200 Document follows,CAREL PlantVisor制冷机组,-
http.title:Nordex Control Windows 2000 5.0 x86 Jetty/3.1 (JSP 1.1; Servlet 2.2; java 1.6.0_14),Nordex风力发电机场,-
示例：C4 Max Vehicle GPS,C4 Max商用车GPS追踪器,-
DICOM Server Response port:104,DICOM医用X射线机,-
Server: EIG Embedded Web Server 200 Document follows,GaugeTech电表,-
"Siemens, SIMATIC port:161",西门子工业自动化,-
Server: Microsoft-WinCE Content-Length: 12581,西门子HVAC控制器,-
HID VertX port:4070,门/锁门禁控制器,-
log off select the appropriate,铁路管理,-
authentication disabled RFB 003.008,未受保护的VNC?,-
title:Weave Scope http.favicon.hash:567176827,编织范围仪表板,-
MongoDB Server Information port:27017 -authentication,MongoDB?,-
Set-Cookie: mongo-express= 200 OK,Mongo Express Web GUI?,-
X-Jenkins Set-Cookie: JSESSIONID http.title:Dashboard,詹金斯CI?,-
Docker Containers: port:2375,Docker API?,-
Docker-Distribution-Api-Version: registry 200 OK -gitlab,Docker私有注册中心,-
dnsmasq-pi-hole Recursion: enabled,Pi-hole开放DNS服务器,-
root@ port:23 -login -password -name -Session,已经root通过Telnet登录,-
Lantronix password port:30718 -secured,Lantronix串行到以太网适配器泄漏Telnet密码?,-
Citrix Applications: port:1604,Citrix虚拟应用程序,-
Server: Bomgar 200 OK,Bomgar帮助台门户,-
"Intel(R) Active Management Technology port:623,664,16992,16993,16994,16995",英特尔主动管理CVE-2017-5689?,-
HP-ILO-4 !HP-ILO-4/2.53 !HP-ILO-4/2.54  port:1900,HP iLO 4 CVE-2017-12542?,-
x-owa-version IE=EmulateIE7 http.favicon.hash:442749392,Exchange 2010?,-
X-AspNet-Version http.title:Outlook -x-owa-version,Exchange 2013/2016?,-
X-MS-Server-Fqdn,Lync / Skype for Business?,-
Set-Cookie: iomega= -manage/login.html -http.title:Log In,艾美加/ LenovoEMC NAS驱动器,-
Redirecting sencha port:9000,布法罗TeraStation NAS驱动器,-
Server: Logitech Media Server 200 OK,罗技媒体服务器,-
X-Plex-Protocol 200 OK port:32400,Plex媒体服务器,-
Server: yawcam Mime-Type: text/html,偏航摄像机,-
(webcam 7 OR webcamXP) http.component:mootools -401,webcamXP / webcam7?,-
Server: IP Webcam Server 200 OK,Android IP网络摄像头服务器,-
html:DVR_H264 ActiveX,安全DVR?,-
Serial Number: Built: Server: HP HTTP,HP打印机,-
ssl:Xerox Generic Root,施乐复印机/打印机,-
SERVER: EPSON_Linux UPnP 200 OK,爱普生打印机,-
Server: KS_HTTP 200 OK,佳能打印机,-
Server: AV_Receiver HTTP/1.1 406,雅马哈音响,-
\x08_airplay port:5353,Apple AirPlay接收器,-
Chromecast: port:8008,Chromecast /智能电视,-
Model: PYNG-HUB,快思聪智能家居控制器,-
title:OctoPrint -title:Login http.favicon.hash:1307375944,OctoPrint 3D打印机控制器,-
ETH - Total speed,以太网矿工,-
http.title:Index of / http.html:.pem,Apache目录列表,-
"net:175.45.176.0/22,210.52.109.0/24,77.94.35.0/24",从字面上看朝鲜的一切,-
port:17 product:Windows qotd,端口17（RFC 865）具有奇异的历史,-
city:城市名称,城市的名称,"city:""Beijing"
geo:经纬度,经纬度,"geo:""46.9481, 7.4474"
hostname:主机名,主机名或者域名,hostname:“baidu.com”
ip:IP地址,IP地址,ip:“11.11.11.11”
isp:ISP供应商,ISP供应商,isp:“China Telecom”
org:组织或者公司,组织或者公司,org:“baidu”
os:操作系统,操作系统,os:“Windows 7 or 8”
net:CIDR格式的IP地址,CIDR格式的IP地址,net:“190.30.40.0/24”
version:软件版本号,软件版本,version:“4.4.2”
vuln:漏洞编号,漏洞CVE编号,vuln:CVE-2020-0787
http.server:服务类型,http请求返回中server的类型,http:server:apache
http.status:请求状态码,http请求返回响应码的状态,http.status:200
